latitude,longitude
40.43769648,-86.94443853
40.43768724,-86.94441838
40.4376779,-86.94439831
40.43766843,-86.94437833
40.43765885,-86.94435846
40.43764913,-86.94433869
40.43763928,-86.94431904
40.4376293,-86.9442995
40.43761921,-86.94428006
40.43760902,-86.94426071
40.43759878,-86.9442414
40.43758856,-86.94422207
40.4375785,-86.94420262
40.43756877,-86.94418289
40.43755958,-86.94416274
40.43755116,-86.94414194
40.43754394,-86.94412049
40.43753801,-86.94409811
40.43753356,-86.94407532
40.43753072,-86.94405164
40.43753005,-86.94402855
40.43753217,-86.94400556
40.43753698,-86.94398308
40.43754374,-86.94396124
40.43755217,-86.94394007
40.43756195,-86.94392026
40.43757284,-86.94390157
40.43758437,-86.94388384
40.43759638,-86.94386652
40.43760899,-86.94384988
40.4376224,-86.94383401
40.43763643,-86.94381927
40.4376512,-86.94380564
40.43766632,-86.94379356
40.43768238,-86.94378281
40.43769873,-86.94377382
40.43771563,-86.9437662
40.4377329,-86.94375991
40.43775038,-86.94375516
40.43776821,-86.94375173
40.43778605,-86.94374932
40.43780394,-86.94374757
40.4378218,-86.9437464
40.4378397,-86.94374582
40.43785761,-86.94374569
40.43787551,-86.94374589
40.43789341,-86.94374633
40.43791132,-86.94374694
40.43792921,-86.94374767
40.43794711,-86.9437485
40.43796501,-86.94374936
40.4379829,-86.94375023
40.4380008,-86.94375106
40.4380187,-86.9437518
40.4380366,-86.94375243
40.4380545,-86.9437529
40.43807241,-86.9437532
40.43809032,-86.9437533
40.43810822,-86.94375321
40.43812613,-86.94375293
40.43814404,-86.94375249
40.43816194,-86.94375194
40.43817984,-86.94375133
40.43819774,-86.94375068
40.43821564,-86.94375002
40.43823356,-86.94374952
40.43825145,-86.94374947
40.43826931,-86.94375027
40.43828713,-86.94375228
40.43830482,-86.94375633
40.43832182,-86.94376355
40.43833731,-86.94377509
40.43835053,-86.94379101
40.43836096,-86.94381026
40.4383681,-86.94383185
40.43837139,-86.94385496
40.43837039,-86.94387836
40.43836529,-86.94390074
40.43835663,-86.94392128
40.43834481,-86.94393899
40.43833053,-86.94395297
40.43831431,-86.94396266
40.43829708,-86.94396809
40.43827931,-86.94397114
40.43826127,-86.94397353
40.43824337,-86.9439765
40.43822556,-86.94398118
40.43820893,-86.94398849
40.43819343,-86.94399998
40.43818014,-86.94401488
40.43816799,-86.94403233
40.43815657,-86.94405093
40.43814552,-86.94406948
40.43813394,-86.94408766
40.43812133,-86.94410441
40.43810687,-86.94411888
40.43809118,-86.94412957
40.43807409,-86.94413547
40.43805653,-86.94413517
40.43803943,-86.94412917
40.43802295,-86.94411883
40.43800805,-86.94410575
40.43799397,-86.94409089
40.43798034,-86.94407579
40.43796604,-86.94406157
40.43795053,-86.9440497
40.4379339,-86.94404121
40.4379163,-86.94403701
40.43789869,-86.9440382
