x_m, y_m, psi_rad
0.000000,0.000000,-1.277939
0.578676,-1.919148,-1.430463
0.858271,-3.898409,-1.576367
0.847257,-5.875443,-1.743793
0.504118,-7.839119,-1.914656
-0.157590,-9.687022,-2.037720
-1.063307,-11.483719,-2.106816
-2.093571,-13.218076,-2.127365
-3.156031,-14.925717,-2.101756
-4.165961,-16.645603,-2.039331
-5.060664,-18.413357,-1.948729
-5.796083,-20.265713,-1.822279
-6.291728,-22.194880,-1.674900
-6.500153,-24.189725,-1.517844
-6.394246,-26.187910,-1.355784
-5.968076,-28.139341,-1.162038
-5.193683,-29.927132,-0.942330
-4.010066,-31.555736,-0.744061
-2.563799,-32.887117,-0.596805
-0.882841,-34.029255,-0.482598
0.887078,-34.956546,-0.397390
2.738333,-35.733557,-0.314297
4.621785,-36.345814,-0.230842
6.563697,-36.802224,-0.150924
8.532722,-37.101673,-0.076286
10.528011,-37.254181,-0.012258
12.525842,-37.278671,0.029411
14.531299,-37.219672,0.050491
16.513879,-37.119484,0.057160
18.517641,-37.004825,0.047650
20.501916,-36.910204,0.036852
22.494664,-36.836733,0.034077
24.486564,-36.768828,0.034019
26.481853,-36.700923,0.035616
28.481379,-36.629678,0.039051
30.475821,-36.551755,0.040688
32.471958,-36.470492,0.039051
34.466400,-36.392568,0.035691
36.461689,-36.321323,0.032348
38.456979,-36.256758,0.028434
40.453115,-36.199985,0.023986
42.448405,-36.152118,0.019516
44.444541,-36.113156,0.013941
46.440678,-36.085326,0.008919
48.437662,-36.067515,0.003902
50.434646,-36.059723,-0.001673
52.430782,-36.063062,-0.007247
54.427766,-36.077534,-0.011711
56.423903,-36.100911,-0.016178
58.419192,-36.133194,-0.019508
60.416176,-36.172155,-0.022861
62.412313,-36.217796,-0.024543
64.407602,-36.266777,-0.024522
66.404586,-36.315757,-0.022880
68.399028,-36.361398,-0.018401
70.395165,-36.398134,-0.012273
72.390454,-36.422624,-0.003905
74.385744,-36.430417,0.008354
76.384422,-36.413719,0.024016
78.377170,-36.365851,0.043564
80.369070,-36.279022,0.066793
82.366054,-36.145439,0.091307
84.347787,-35.963988,0.124248
86.335451,-35.715745,0.163469
88.306170,-35.390693,0.208073
90.267569,-34.976584,0.263328
92.195925,-34.456722,0.329951
94.084461,-33.809956,0.405335
95.926396,-33.019587,0.479941
97.701399,-32.095636,0.534371
99.401843,-31.089307,0.579847
101.079411,-29.990584,0.707789
102.546860,-28.734900,0.857574
103.843162,-27.236540,0.923823
105.086088,-25.591238,0.953586
106.244288,-23.959294,1.006346
107.313526,-22.270577,1.075520
108.258217,-20.521748,1.146661
109.080056,-18.701674,1.216096
109.773112,-16.830394,1.281851
110.341621,-14.917925,1.344824
110.788972,-12.972060,1.404876
111.118555,-11.003932,1.463216
111.332911,-9.019105,1.517243
111.439665,-7.027599,1.567397
111.446444,-5.033867,1.608071
111.371885,-3.034569,1.636315
111.240560,-1.033045,1.667059
111.046538,0.976272,1.702676
110.788125,2.924363,1.748880
110.432277,4.901397,1.822354
109.948494,6.783810,1.893766
109.314746,8.677354,1.941263
108.581022,10.566446,1.969106
107.801545,12.418802,1.972997
107.017833,14.261140,1.968613
106.245982,16.097912,1.982822
105.449561,17.920212,2.009533
104.602304,19.725814,2.042114
103.695740,21.504699,2.078537
102.723936,23.251302,2.107154
101.702145,24.970075,2.127068
100.647310,26.666584,2.141990
99.567058,28.347508,2.151587
98.474097,30.012848,2.156812
97.370122,31.675961,2.160832
96.260216,33.333508,2.163610
95.144379,34.989942,2.163921
94.028542,36.645263,2.161538
92.916941,38.302810,2.157519
91.811271,39.965924,2.151379
90.716615,41.634603,2.145640
89.631280,43.309961,2.138231
88.557805,44.994225,2.132079
87.495346,46.684055,2.124971
86.444747,48.381677,2.118229
85.405164,50.087092,2.110688
84.379136,51.799185,2.103586
83.364970,53.519072,2.096402
82.363512,55.245637,2.089674
81.373069,56.979995,2.084144
80.392793,58.718805,2.081748
79.416754,60.459842,2.082488
78.439019,62.200879,2.086816
77.454507,63.936350,2.096122
76.453050,65.664028,2.109673
75.428717,67.377235,2.130048
74.369646,69.069291,2.158490
73.263129,70.730178,2.197358
72.093914,72.345424,2.241294
70.853531,73.909463,2.305301
69.511476,75.395578,2.394922
68.041486,76.755902,2.510109
66.426615,77.937002,2.650851
64.678724,78.870972,2.805604
62.788495,79.531097,2.959715
60.815234,79.893999,3.117484
58.830112,79.941866,3.296684
56.872102,79.635737,3.503557
55.014068,78.932198,3.711396
53.335653,77.856852,3.910227
51.897858,76.466471,4.112368
50.775243,74.825622,4.315357
50.005087,72.988851,4.496837
49.579764,71.046325,4.652865
49.461148,69.055933,4.793001
49.622127,67.063314,4.911934
