x_m, y_m, psi_rad
0.000000,0.000000,2.025004
-0.864202,1.769980,2.173195
-1.998678,3.419735,2.299487
-3.339038,4.921435,2.405390
-4.824279,6.267287,2.476812
-6.395093,7.498481,2.522706
-8.015895,8.652864,2.556155
-9.678213,9.754927,2.573175
-11.360017,10.829160,2.578988
-13.049447,11.894488,2.576100
-14.745655,12.970947,2.540622
-16.398652,14.104179,2.468263
-17.944896,15.337599,2.365828
-19.369134,16.734659,2.237100
-20.587489,18.284226,2.114555
-21.627920,20.005226,2.002952
-22.465857,21.821960,1.885413
-23.086049,23.727749,1.759034
-23.457995,25.680293,1.628199
-23.572374,27.670686,1.498619
-23.429188,29.651060,1.371916
-23.035213,31.605830,1.250788
-22.404007,33.510506,1.134968
-21.565223,35.311656,1.023581
-20.524792,37.019297,0.916853
-19.308979,38.605599,0.813307
-17.937270,40.056092,0.714180
-16.428306,41.364096,0.617371
-14.800726,42.519593,0.522004
-13.070628,43.514789,0.430515
-11.257499,44.347459,0.339212
-9.374047,45.012036,0.249527
-7.438913,45.505181,0.158718
-5.470736,45.820216,0.065767
-3.476294,45.951573,-0.026739
-1.478463,45.898139,-0.120897
0.500729,45.657689,-0.218732
2.463822,45.221317,-0.318164
4.356594,44.597928,-0.419661
6.165487,43.790861,-0.522367
7.892196,42.796778,-0.621406
9.502830,41.643508,-0.710307
11.023656,40.335504,-0.791342
12.428408,38.913954,-0.870295
13.717085,37.385538,-0.947934
14.881216,35.764726,-1.024814
15.917410,34.059311,-1.099096
16.823128,32.283766,-1.167504
17.606840,30.446994,-1.226583
18.281256,28.565695,-1.273319
18.865864,26.658792,-1.304655
19.391163,24.731851,-1.321789
19.883419,22.796005,-1.324121
20.370591,20.861273,-1.312465
20.880640,18.930993,-1.288086
21.438135,17.011845,-1.253415
22.060868,15.116074,-1.210140
22.765786,13.247019,-1.159722
23.563054,11.418040,-1.105023
24.461146,9.631362,-1.050451
25.457520,7.892552,-0.995968
26.537772,6.224986,-0.936859
27.738335,4.591929,-0.871199
29.022776,3.065739,-0.789013
30.398721,1.679811,-0.698286
31.921241,0.401863,-0.617997
33.551363,-0.756973,-0.547905
35.255196,-1.796697,-0.486620
37.035282,-2.738459,-0.426432
38.850953,-3.563337,-0.361054
40.720001,-4.269102,-0.291762
42.628870,-4.842398,-0.220297
44.577561,-5.278770,-0.149139
46.548280,-5.574880,-0.076545
48.536791,-5.727388,-0.004454
50.536317,-5.736293,0.067134
52.523133,-5.602710,0.136386
54.502325,-5.331090,0.204525
56.461182,-4.924774,0.276776
58.385302,-4.378196,0.353021
60.264517,-3.685788,0.433340
62.066632,-2.852005,0.520142
63.811981,-1.852356,0.612193
65.448033,-0.703539,0.710624
66.951067,0.589993,0.816710
68.313455,2.040486,0.930721
69.503004,3.637921,1.050438
70.491752,5.363373,1.185117
71.241574,7.210163,1.334900
71.710107,9.159368,1.498981
71.853294,11.149760,1.687583
71.618604,13.150171,1.907680
70.962827,15.022565,2.152428
69.876644,16.674547,2.382671
68.432919,18.043776,2.591309
66.741794,19.081274,2.745999
64.918498,19.842699,2.811687
63.023185,20.491692,2.800138
61.140581,21.160722,2.761305
59.285936,21.902110,2.693489
57.463487,22.778194,2.597094
55.741014,23.821258,2.475293
54.135463,25.083621,2.337774
52.790019,26.479567,2.155287
51.697058,28.131549,1.916035
51.041282,29.954962,1.743601
50.698143,31.920864,1.642080
50.551567,33.973595,1.558084
50.576985,35.972893,1.472602
50.771854,37.951041,1.377203
51.153119,39.895792,1.295628
51.696211,41.819393,1.259183
52.317250,43.747447,1.304300
52.840855,45.665482,1.408825
53.160270,47.620252,1.475680
53.350056,49.609531,1.546456
53.398350,51.593244,1.638754
53.263636,53.572505,1.733121
52.939136,55.553992,1.814977
52.459589,57.478706,1.872679
51.860579,59.402307,1.901533
51.211580,61.292512,1.895430
50.570207,63.198301,1.852187
50.016101,65.115223,1.770341
49.622127,67.063314,1.651409
49.461148,69.055933,1.511272
49.579764,71.046325,1.355244
50.005087,72.988851,1.173764
50.775243,74.825622,0.970776
51.897858,76.466471,0.768635
53.335653,77.856852,0.569804
55.014068,78.932198,0.361964
56.872102,79.635737,0.155091
58.830112,79.941866,-0.024108
60.815234,79.893999,-0.181877
62.788495,79.531097,-0.335989
64.678724,78.870972,-0.490742
66.426615,77.937002,-0.631484
68.041486,76.755902,-0.746671
69.511476,75.395578,-0.836292
70.853531,73.909463,-0.900299
72.093914,72.345424,-0.944235
73.263129,70.730178,-0.983103
74.369646,69.069291,-1.011545
75.428717,67.377235,-1.031919
76.453050,65.664028,-1.045471
77.454507,63.936350,-1.054777
78.439019,62.200879,-1.059105
79.416754,60.459842,-1.059845
80.392793,58.718805,-1.057448
81.373069,56.979995,-1.051919
82.363512,55.245637,-1.045191
83.364970,53.519072,-1.038007
84.379136,51.799185,-1.030905
85.405164,50.087092,-1.023364
86.444747,48.381677,-1.016621
87.495346,46.684055,-1.009514
88.557805,44.994225,-1.003362
89.631280,43.309961,-0.995953
90.716615,41.634603,-0.990214
91.811271,39.965924,-0.984074
92.916941,38.302810,-0.980055
94.028542,36.645263,-0.977671
95.144379,34.989942,-0.977983
96.260216,33.333508,-0.980760
97.370122,31.675961,-0.984781
98.474097,30.012848,-0.990006
99.567058,28.347508,-0.999603
100.647310,26.666584,-1.014525
101.702145,24.970075,-1.034439
102.723936,23.251302,-1.063056
103.695740,21.504699,-1.099478
104.602304,19.725814,-1.132060
105.449561,17.920212,-1.158771
106.245982,16.097912,-1.172980
107.017833,14.261140,-1.168595
107.801545,12.418802,-1.172486
108.581022,10.566446,-1.200329
109.314746,8.677354,-1.247826
109.948494,6.783810,-1.319239
110.432277,4.901397,-1.392712
110.788125,2.924363,-1.438917
111.046538,0.976272,-1.474534
111.240560,-1.033045,-1.505278
111.371885,-3.034569,-1.533521
111.446444,-5.033867,-1.574196
111.439665,-7.027599,-1.624350
111.332911,-9.019105,-1.678377
111.118555,-11.003932,-1.736717
110.788972,-12.972060,-1.796768
110.341621,-14.917925,-1.859742
109.773112,-16.830394,-1.925497
109.080056,-18.701674,-1.994931
108.258217,-20.521748,-2.066073
107.313526,-22.270577,-2.135246
106.244288,-23.959294,-2.188007
105.086088,-25.591238,-2.217769
103.843162,-27.236540,-2.284019
102.546860,-28.734900,-2.433803
101.079411,-29.990584,-2.561745
99.401843,-31.089307,-2.607222
97.701399,-32.095636,-2.661652
95.926396,-33.019587,-2.736257
94.084461,-33.809956,-2.811642
92.195925,-34.456722,-2.878265
90.267569,-34.976584,-2.933519
88.306170,-35.390693,-2.978123
86.335451,-35.715745,-3.017344
84.347787,-35.963988,-3.050286
82.366054,-36.145439,-3.074800
80.369070,-36.279022,-3.098029
78.377170,-36.365851,-3.117576
76.384422,-36.413719,-3.133238
74.385744,-36.430417,-3.145498
72.390454,-36.422624,-3.153866
70.395165,-36.398134,-3.159994
68.399028,-36.361398,-3.164473
66.404586,-36.315757,-3.166115
64.407602,-36.266777,-3.166136
62.412313,-36.217796,-3.164453
60.416176,-36.172155,-3.161101
58.419192,-36.133194,-3.157771
56.423903,-36.100911,-3.153303
54.427766,-36.077534,-3.148839
52.430782,-36.063062,-3.143266
50.434646,-36.059723,-3.137691
48.437662,-36.067515,-3.132674
46.440678,-36.085326,-3.127652
44.444541,-36.113156,-3.122077
42.448405,-36.152118,-3.117607
