latitude,longitude
40.43768556656002,-86.94442948332131
40.43767903328106,-86.94441390830913
40.4376725,-86.9443983333
40.4376633333,-86.9443775
40.4376546667,-86.9443561667
40.4376455,-86.9443346667
40.437635,-86.9443115
40.4376246667,-86.9442896667
40.437616,-86.9442696667
40.4376076667,-86.944248
40.4375985,-86.9442246667
40.4375895,-86.9442038333
40.4375805,-86.9441815
40.4375711667,-86.9441575
40.4375635,-86.9441383333
40.4375561667,-86.9441165
40.4375466667,-86.9440893333
40.4375378333,-86.944067
40.4375323333,-86.9440446667
40.4375305,-86.944021
40.4375323333,-86.9439991667
40.43754,-86.94398
40.4375505,-86.9439611667
40.4375638333,-86.9439408333
40.4375761667,-86.943922
40.4375876667,-86.9439053333
40.4376011667,-86.943889
40.4376146667,-86.943872
40.4376285,-86.9438538333
40.4376406667,-86.943837
40.437654,-86.94382
40.4376693333,-86.9438003333
40.4376825,-86.9437805
40.4376965,-86.9437638333
40.437712,-86.9437511667
40.437729,-86.9437435
40.4377458333,-86.9437411667
40.4377665,-86.9437401667
40.4377835,-86.943739
40.437803,-86.9437405
40.437823,-86.9437416667
40.4378406667,-86.9437425
40.4378593333,-86.9437436667
40.4378781667,-86.9437445
40.4378975,-86.9437448333
40.4379173333,-86.9437446667
40.4379361667,-86.943744
40.4379558333,-86.943744
40.4379743333,-86.9437443333
40.4379928333,-86.943745
40.4380126667,-86.9437456667
40.4380315,-86.9437456667
40.43805,-86.9437463333
40.438069,-86.9437475
40.438088,-86.943748
40.4381078333,-86.943748
40.4381273333,-86.9437475
40.4381451667,-86.9437476667
40.438165,-86.9437491667
40.4381825,-86.9437505
40.4382013333,-86.9437526667
40.4382246667,-86.9437546667
40.4382428333,-86.9437551667
40.4382595,-86.9437585
40.43828,-86.9437656667
40.4382953333,-86.9437713333
40.4383138333,-86.9437836667
40.4383288333,-86.9437965
40.438341,-86.943815
40.438348,-86.943836
40.4383505,-86.9438585
40.4383483333,-86.943881
40.4383398333,-86.9439043333
40.43833,-86.9439231667
40.438316,-86.9439375
40.4383016667,-86.9439478333
40.4382846667,-86.9439546667
40.4382663333,-86.9439615
40.4382475,-86.9439691667
40.4382286667,-86.9439771667
40.4382116667,-86.9439861667
40.4381958333,-86.9439976667
40.4381803333,-86.9440106667
40.4381646667,-86.9440241667
40.4381485,-86.9440381667
40.4381328333,-86.9440526667
40.438117,-86.9440685
40.4381008333,-86.9440853333
40.4380871667,-86.9440998333
40.4380703333,-86.9441105
40.4380545,-86.9441133333
40.4380393333,-86.9441086667
40.4380233333,-86.9440976667
40.438007,-86.9440873333
40.4379896667,-86.9440766667
40.4379713333,-86.9440658333
40.4379531667,-86.9440553333
40.4379361667,-86.9440456667
40.437918,-86.9440391667
40.4379015,-86.94404
40.4378861667,-86.9440485
40.4378728333,-86.9440643333
40.4378621667,-86.9440831667
40.437853,-86.9441036667
40.4378461667,-86.9441236667
40.4378431667,-86.9441466667
40.4378416667,-86.9441695
40.437844,-86.9441928333
40.4378483333,-86.9442165
40.4378553333,-86.9442413333
40.4378621667,-86.9442626667
40.4378716667,-86.9442846667
40.4378821667,-86.9443023333
40.437893,-86.9443223333
40.4379055,-86.94434
40.43792,-86.944355
40.4379353333,-86.9443678333
40.4379528333,-86.9443795
40.437969,-86.944389
40.4379866667,-86.9443941667
40.4380053333,-86.9443958333
40.4380231667,-86.944394
40.4380413333,-86.9443923333
40.4380611667,-86.9443906667
40.4380815,-86.9443885
40.4380993333,-86.944386
40.4381181667,-86.9443851667
40.438138,-86.9443841667
40.4381571667,-86.9443826667
40.4381753333,-86.9443811667
40.4381945,-86.9443803333
40.4382131667,-86.9443788333
40.4382311667,-86.9443771667
40.4382536667,-86.9443768333
40.4382713333,-86.9443766667
40.4382893333,-86.944381
40.4383058333,-86.9443906667
40.4383221667,-86.9444053333
40.438336,-86.944421
40.4383458333,-86.944442
40.4383531667,-86.9444626667
40.4383593333,-86.944489
40.4383631667,-86.9445115
40.4383645,-86.944535
40.4383643333,-86.9445608333
40.438363,-86.9445828333
40.4383591667,-86.9446113333
40.4383561667,-86.9446346667
40.4383473333,-86.9446563333
40.4383366667,-86.9446758333
40.4383238333,-86.9446916667
40.4383101667,-86.9447023333
40.4382911667,-86.9447106667
40.4382741667,-86.9447158333
40.438257,-86.9447158333
40.4382411667,-86.9447121667
40.4382231667,-86.9447041667
40.4382051667,-86.9446966667
40.4381868333,-86.9446895
40.4381681667,-86.9446826667
40.4381503333,-86.9446768333
40.4381318333,-86.9446733333
40.438113,-86.9446718333
40.438093,-86.9446715
40.4380743333,-86.9446713333
40.438058,-86.944678
40.4380453333,-86.9446908333
40.4380335,-86.9447085
40.4380205,-86.9447286667
40.4380095,-86.9447463333
40.437996,-86.944765
40.4379833333,-86.9447821667
40.4379663333,-86.9447996667
40.4379515,-86.9448143333
40.4379368333,-86.9448231667
40.4379216667,-86.9448248333
40.4379013333,-86.9448193333
40.4378838333,-86.9448136667
40.4378686667,-86.944805
40.4378535,-86.9447891667
40.4378398333,-86.9447723333
40.437828,-86.944754
40.437819,-86.9447355
40.4378098333,-86.9447131667
40.4378008333,-86.9446918333
40.437791,-86.9446698333
40.4377796667,-86.9446455
40.4377705,-86.9446273333
40.437762,-86.9446055
40.4377533333,-86.9445835
40.4377443333,-86.9445615
40.4377351667,-86.9445398333
40.4377255,-86.9445181667
40.4377155,-86.944497
40.4377055,-86.9444765
40.43769779967176,-86.94445876176033
40.43768995816591,-86.9444436281873
