timestamp,object_x,object_y,contour_area
2026-05-01-17-22-22.627377,319,239,306081.0
2026-05-01-17-22-22.653381,319,239,306079.0
2026-05-01-17-22-22.688040,319,239,306064.0
2026-05-01-17-22-22.723197,319,239,305885.0
2026-05-01-17-22-22.756297,319,239,305864.0
2026-05-01-17-22-22.789023,318,235,301129.0
2026-05-01-17-22-22.824098,318,235,301114.5
2026-05-01-17-22-22.870871,317,232,296190.5
2026-05-01-17-22-22.905395,317,232,296032.0
2026-05-01-17-22-22.937378,317,230,292992.0
2026-05-01-17-22-22.955693,317,230,293073.0
2026-05-01-17-22-22.998904,316,229,291837.5
2026-05-01-17-22-23.032750,316,229,291835.0
2026-05-01-17-22-23.064546,313,222,282478.5
2026-05-01-17-22-23.110685,313,223,282874.5
2026-05-01-17-22-23.141789,312,217,275064.0
2026-05-01-17-22-23.172153,312,217,275052.5
2026-05-01-17-22-23.202278,312,212,269054.5
2026-05-01-17-22-23.249093,312,212,268803.5
2026-05-01-17-22-23.280060,313,208,262991.0
2026-05-01-17-22-23.311803,312,210,266058.0
2026-05-01-17-22-23.342202,313,207,260553.0
2026-05-01-17-22-23.372202,291,245,192835.0
2026-05-01-17-22-23.418261,291,245,192249.5
2026-05-01-17-22-23.449992,286,251,182546.0
2026-05-01-17-22-23.480933,285,251,180865.0
2026-05-01-17-22-23.511600,285,250,179032.5
2026-05-01-17-22-23.542979,285,250,178657.0
2026-05-01-17-22-23.589727,285,250,177175.5
2026-05-01-17-22-23.621100,285,250,176577.0
2026-05-01-17-22-23.652457,285,250,171366.0
2026-05-01-17-22-23.683091,285,250,170957.0
2026-05-01-17-22-23.729068,285,249,168187.0
2026-05-01-17-22-23.760093,285,249,168079.0
2026-05-01-17-22-23.792006,285,249,166219.0
2026-05-01-17-22-23.823867,286,249,166229.5
2026-05-01-17-22-23.855444,285,249,164620.0
2026-05-01-17-22-23.886650,285,249,164367.5
2026-05-01-17-22-23.917476,287,252,159342.5
2026-05-01-17-22-23.963715,287,252,158886.5
2026-05-01-17-22-23.994732,286,252,157045.0
2026-05-01-17-22-24.026111,286,252,157095.0
2026-05-01-17-22-24.058056,283,249,152181.5
2026-05-01-17-22-24.089319,281,249,150775.5
2026-05-01-17-22-24.123472,279,248,148442.5
2026-05-01-17-22-24.168037,278,248,147637.0
2026-05-01-17-22-24.198848,277,249,145973.5
2026-05-01-17-22-24.230431,276,247,146244.0
2026-05-01-17-22-24.261968,276,248,145355.5
2026-05-01-17-22-24.307815,275,248,145168.0
2026-05-01-17-22-24.338442,275,248,145024.5
2026-05-01-17-22-24.368646,275,247,144782.5
2026-05-01-17-22-24.399809,274,247,144480.5
2026-05-01-17-22-24.430873,274,247,144304.0
2026-05-01-17-22-24.476876,274,247,144172.5
2026-05-01-17-22-24.507378,274,247,144327.5
2026-05-01-17-22-24.538459,274,247,144220.5
2026-05-01-17-22-24.569271,274,247,144276.5
2026-05-01-17-22-24.600754,273,246,143364.5
2026-05-01-17-22-24.633854,273,246,143440.0
2026-05-01-17-22-24.677885,273,246,143670.5
2026-05-01-17-22-24.709042,272,247,143677.0
2026-05-01-17-22-24.739727,272,247,143710.5
2026-05-01-17-22-24.771358,272,247,143639.0
2026-05-01-17-22-24.817996,272,247,143652.0
2026-05-01-17-22-24.848454,272,247,143605.5
2026-05-01-17-22-24.879089,272,247,143551.5
2026-05-01-17-22-24.910705,273,247,143709.0
2026-05-01-17-22-24.942199,273,247,143659.0
2026-05-01-17-22-24.973047,273,247,143523.5
2026-05-01-17-22-25.019569,273,247,143617.0
2026-05-01-17-22-25.051376,274,247,143567.5
2026-05-01-17-22-25.083513,274,247,143569.0
2026-05-01-17-22-25.114495,274,246,143414.0
2026-05-01-17-22-25.145769,274,246,143321.5
2026-05-01-17-22-25.177104,273,246,143385.5
2026-05-01-17-22-25.224103,273,246,143171.0
2026-05-01-17-22-25.255771,272,247,143040.0
2026-05-01-17-22-25.287444,271,242,135030.5
2026-05-01-17-22-25.318458,269,244,136714.5
2026-05-01-17-22-25.350142,269,244,136417.0
2026-05-01-17-22-25.380946,270,242,134345.0
2026-05-01-17-22-25.427100,268,243,135792.5
2026-05-01-17-22-25.458162,269,243,135584.5
2026-05-01-17-22-25.489110,268,244,135905.0
2026-05-01-17-22-25.520108,270,242,134059.0
2026-05-01-17-22-25.551503,269,244,135889.0
2026-05-01-17-22-25.598507,270,242,134435.5
2026-05-01-17-22-25.628761,269,244,136161.5
2026-05-01-17-22-25.660425,271,242,134359.0
2026-05-01-17-22-25.707415,271,241,132284.0
2026-05-01-17-22-25.722886,136,235,91821.5
2026-05-01-17-22-25.769122,135,231,88471.0
2026-05-01-17-22-25.800096,134,231,88626.5
2026-05-01-17-22-25.824170,134,231,87548.5
2026-05-01-17-22-25.858552,136,227,85505.5
2026-05-01-17-22-25.894474,133,222,82354.5
2026-05-01-17-22-25.926550,132,223,81799.5
2026-05-01-17-22-25.973255,131,227,83456.0
2026-05-01-17-22-26.003124,132,222,81737.0
2026-05-01-17-22-26.034417,130,227,83044.0
2026-05-01-17-22-26.064876,131,223,81163.0
2026-05-01-17-22-26.096095,131,223,81091.0
2026-05-01-17-22-26.143167,129,222,79919.5
2026-05-01-17-22-26.174364,129,222,79790.5
2026-05-01-17-22-26.196909,129,222,79754.5
2026-05-01-17-22-26.236084,129,221,79678.5
2026-05-01-17-22-26.283975,129,221,79518.0
2026-05-01-17-22-26.315037,129,221,79523.5
2026-05-01-17-22-26.331169,129,222,79580.0
2026-05-01-17-22-26.377256,128,221,78863.0
2026-05-01-17-22-26.408397,128,221,78808.0
2026-05-01-17-22-26.438689,128,221,78594.0
2026-05-01-17-22-26.470151,128,221,78542.0
2026-05-01-17-22-26.517260,127,221,78392.0
2026-05-01-17-22-26.548485,127,220,78083.0
2026-05-01-17-22-26.579803,127,221,78294.5
2026-05-01-17-22-26.610854,126,221,78110.0
2026-05-01-17-22-26.643036,126,221,78226.5
2026-05-01-17-22-26.673654,126,221,78075.0
2026-05-01-17-22-26.719843,126,221,77861.0
2026-05-01-17-22-26.750708,126,221,78106.5
2026-05-01-17-22-26.781442,126,221,77985.5
2026-05-01-17-22-26.828638,125,221,77872.0
2026-05-01-17-22-26.844594,125,221,77942.5
2026-05-01-17-22-26.891014,125,221,77851.5
2026-05-01-17-22-26.923143,125,221,77721.5
2026-05-01-17-22-26.953974,125,221,77581.0
2026-05-01-17-22-26.986515,125,221,77526.0
2026-05-01-17-22-27.017960,124,219,75844.0
2026-05-01-17-22-27.065150,123,219,75797.5
2026-05-01-17-22-27.096816,123,219,75558.5
2026-05-01-17-22-27.127605,123,219,75573.0
2026-05-01-17-22-27.159104,123,220,75756.0
2026-05-01-17-22-27.189234,123,220,75718.5
2026-05-01-17-22-27.220221,123,219,75458.0
2026-05-01-17-22-27.266801,123,219,75045.5
2026-05-01-17-22-27.297653,123,219,75086.5
2026-05-01-17-22-27.329142,123,219,74985.0
2026-05-01-17-22-27.360535,123,219,75107.0
2026-05-01-17-22-27.391800,123,219,75173.5
2026-05-01-17-22-27.437992,123,218,75197.0
2026-05-01-17-22-27.469526,123,219,75284.5
2026-05-01-17-22-27.501060,571,260,41450.0
2026-05-01-17-22-27.531792,572,260,41266.5
2026-05-01-17-22-27.563126,572,263,39825.5
2026-05-01-17-22-27.611219,572,263,39740.5
2026-05-01-17-22-27.642421,572,263,39747.0
2026-05-01-17-22-27.673737,574,263,38781.5
2026-05-01-17-22-27.704748,575,263,38196.0
2026-05-01-17-22-27.736458,575,263,38092.5
2026-05-01-17-22-27.767693,575,264,37832.5
2026-05-01-17-22-27.813976,576,264,37636.0
2026-05-01-17-22-27.844425,576,264,37431.0
2026-05-01-17-22-27.875255,576,264,37201.5
