# 5c176425-a773-470c-a247-1c7da8ae3e51
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 34.3000907; 79.5194068; 0.3742601; 0.0832931; 10.4498444; 1.6187547
1.9930809; 33.4378234; 81.2868164; 0.5309330; 0.0754071; 10.7541557; 1.6825187
3.9861618; 32.3049962; 82.9331797; 0.6697158; 0.0620221; 11.0615847; 1.7444783
5.9792428; 30.9667238; 84.4320168; 0.7857565; 0.0552305; 11.3715623; 2.3355371
7.9723237; 29.4842882; 85.7758427; 0.8764279; 0.0355140; 11.7737954; 2.8837677
9.9654046; 27.9157486; 87.0054941; 0.9310492; 0.0228278; 12.2522416; 3.6557067
11.9584855; 26.2979206; 88.1576837; 0.9708904; 0.0169786; 12.8331470; 4.9229399
13.9515665; 24.6386482; 89.2582631; 0.9965688; 0.0086279; 13.5762034; 4.7509746
15.9446474; 22.9594398; 90.3307008; 1.0062075; 0.0026494; 14.2566283; 4.0689524
17.9377283; 21.2729976; 91.3940903; 1.0095902; 0.0007487; 14.8145521; -2.0266637
19.9308092; 19.5798667; 92.4681712; 0.9947658; -0.0177196; 14.5393378; -3.3073861
21.9238902; 17.9296220; 93.6003493; 0.9376421; -0.0364880; 14.0786565; -4.0259091
23.9169711; 16.3862551; 94.8316176; 0.8524998; -0.0507513; 13.4966901; -3.1623797
25.9100520; 14.9644153; 96.2254434; 0.7326116; -0.0671380; 13.0213242; -2.8110465
27.9031329; 13.7475298; 97.7727659; 0.6023899; -0.0618118; 12.5837037; -2.5916885
29.8962139; 12.7093342; 99.4911321; 0.4873096; -0.0543475; 12.1662940; -2.4970841
31.8892948; 11.8727867; 101.3041019; 0.3757873; -0.0589461; 11.7501033; -1.1781962
33.8823757; 11.2534503; 103.2074808; 0.2522002; -0.0632619; 11.5485257; -0.8389193
35.8754566; 10.8820361; 105.1563166; 0.1233821; -0.0662992; 11.4028233; -0.8144878
37.8685376; 10.7680489; 107.1436778; -0.0084017; -0.0651225; 11.2595603; 0.3952215
39.8616185; 10.9112964; 109.1203591; -0.1357928; -0.0635077; 11.3293034; 0.9628507
41.8546994; 11.3039168; 111.0724415; -0.2602899; -0.0608830; 11.4974429; 1.5010136
43.8477803; 11.9342714; 112.9731370; -0.3792323; -0.0580729; 11.7547640; 1.3752644
45.8408613; 12.7717329; 114.7710571; -0.4917911; -0.0556754; 11.9856791; 1.3511905
47.8339422; 13.8101717; 116.4763775; -0.6015082; -0.0536621; 12.2082991; 1.3126466
49.8270231; 15.0244326; 118.0596732; -0.7063041; -0.0516401; 12.4207483; 1.2797104
51.8201040; 16.3931637; 119.5078962; -0.8074038; -0.0497796; 12.6244256; 1.2781426
53.8131850; 17.8996737; 120.8137253; -0.9055111; -0.0486294; 12.8246249; 1.2617978
55.8062659; 19.5244303; 121.9668477; -1.0012791; -0.0475392; 13.0192448; 1.2494288
57.7993468; 21.2515951; 122.9614288; -1.0949331; -0.0462881; 13.2091317; 1.2028362
59.7924277; 23.0619790; 123.7919717; -1.1861036; -0.0453466; 13.3893936; 0.6593055
61.7855087; 24.9419748; 124.4561367; -1.2762153; -0.0450891; 13.4871776; 0.1350407
63.7785896; 26.8735541; 124.9484752; -1.3663778; -0.0455480; 13.5071186; -0.3952741
65.7716705; 28.8388097; 125.2629778; -1.4582939; -0.0469063; 13.4486663; -0.8545773
67.7647514; 30.8300795; 125.3940692; -1.5516370; -0.0464976; 13.3214167; -0.8924833
69.7578323; 32.8237571; 125.3399444; -1.6442768; -0.0467071; 13.1872120; -0.8994402
71.7509133; 34.7996512; 125.1003434; -1.7395707; -0.0494549; 13.0505650; -0.2846875
73.7439942; 36.7595990; 124.6646334; -1.8392949; -0.0494180; 13.0070149; 0.3975426
75.7370751; 38.6491441; 124.0423914; -1.9392200; -0.0512650; 13.0677888; 1.4336044
77.7301560; 40.4552718; 123.2368798; -2.0415686; -0.0517751; 13.2846409; 1.4496603
79.7232370; 42.1788213; 122.2441841; -2.1446923; -0.0503027; 13.5003802; 1.3572281
81.7163179; 43.7869727; 121.0927735; -2.2377782; -0.0445822; 13.6992845; 1.2838853
83.7093988; 45.3050546; 119.7873589; -2.3228741; -0.0404760; 13.8848180; 1.2295951
85.7024797; 46.7071751; 118.3674452; -2.4016860; -0.0391430; 14.0602111; 1.2665286
87.6955607; 47.9941224; 116.8419470; -2.4798495; -0.0390187; 14.2386138; 1.3406853
89.6886416; 49.1561713; 115.2241322; -2.5574895; -0.0387380; 14.4250585; 1.4528935
91.6817225; 50.1907341; 113.5208944; -2.6335978; -0.0375413; 14.6244241; 1.8602409
93.6748034; 51.0947902; 111.7482341; -2.7052443; -0.0343207; 14.8757858; 2.3300559
95.6678844; 51.8769061; 109.9153644; -2.7697820; -0.0296983; 15.1847615; 2.8695474
97.6609653; 52.5504015; 108.0366435; -2.8229607; -0.0236486; 15.5568462; 4.0651995
99.6540462; 53.1341784; 106.1337894; -2.8622896; -0.0158906; 16.0692254; 4.7249055
101.6471271; 53.6582262; 104.2101244; -2.8864822; -0.0084280; 16.6449465; 5.4258946
103.6402081; 54.1501237; 102.2766480; -2.8960446; -0.0011882; 17.2824402; 5.3062686
105.6332890; 54.6364285; 100.3457489; -2.8913496; 0.0058781; 17.8839141; 3.4035685
107.6263699; 55.1456731; 98.4187194; -2.8730334; 0.0121582; 18.2592869; 1.3266215
109.6194508; 55.7017742; 96.5031339; -2.8432303; 0.0177133; 18.4035237; -3.2550815
111.6125318; 56.3235145; 94.6102520; -2.8039002; 0.0217602; 18.0475595; -3.3123714
113.6056127; 57.0274424; 92.7441558; -2.7567085; 0.0251837; 17.6779738; -3.2833292
115.5986936; 57.8231868; 90.9177798; -2.7037302; 0.0280641; 17.3038399; -2.8546158
117.5917745; 58.7197284; 89.1340496; -2.6482887; 0.0273121; 16.9718565; -2.3838991
119.5848555; 59.7142568; 87.3987638; -2.5941229; 0.0271843; 16.6895568; -1.8356753
121.5779364; 60.7931494; 85.7339741; -2.5382196; 0.0296688; 16.4688800; -1.1249438
123.5710173; 61.9916470; 84.1035328; -2.4764558; 0.0321130; 16.3321707; -1.1416581
125.5640982; 63.2740169; 82.5804485; -2.4035441; 0.0422027; 16.1922502; -1.1878245
127.5571791; 64.6471100; 81.1965725; -2.3148955; 0.0478911; 16.0453764; -1.1668309
129.5502601; 66.1675454; 79.9202826; -2.2266423; 0.0393017; 15.8997776; -0.9872989
131.5433410; 67.7942204; 78.7634887; -2.1524223; 0.0357963; 15.7755315; -0.6209074
133.5364219; 69.4956318; 77.7255582; -2.0869083; 0.0299945; 15.6968901; -0.3926020
135.5295028; 71.2723711; 76.7854489; -2.0280780; 0.0298470; 15.6469608; -0.1498706
137.5225838; 73.0853491; 75.9615119; -1.9655670; 0.0330753; 15.6278589; 0.0898584
139.5156647; 74.9508273; 75.2571007; -1.8975433; 0.0349230; 15.6393147; 0.1199492
141.5087456; 76.8564636; 74.6850735; -1.8270207; 0.0357369; 15.6545936; 0.1276765
143.5018265; 78.8017137; 74.2490597; -1.7554928; 0.0359713; 15.6708404; -0.0899975
145.4949075; 80.7695608; 73.9540542; -1.6836298; 0.0362102; 15.6593900; -0.3358448
147.4879884; 82.7544315; 73.8014191; -1.6114225; 0.0363213; 15.6165862; -0.5648481
